questionType,logs
Comment contacter le service client ?,"Bonjour, je n'arrive pas à retrouver le titre de l'émission qui a été diffusée le 17/01 sur France 3 Pays de la Loire à 12h55 car je souhaite la voir. Il y avait un sujet sur le Jardin du Petit Bordeaux à St Biez en Belin (72)"
Replay,comment puis-je voir les emissions de france tv en direct ou en differe sur mon ordinateur quand je vis a l'etranger?
Comment proposer un sujet ?,Ou se trouve le formulaire pour donner son avis sur une émission?
Replay,la video en direct ne fonctionne pas
Mon compte france.tv,J ai réinstaller le mot de passe et ça ne marche
Comment proposer un sujet ?,pourquoi plus de théatre mensuel sur FR 3 ANTENNE DEUX ????
Replay,Je voudrais savoir si c'est possible de me faire voir tous les épisodes d'une saison au zoo à partir de la fin de la saison 11
Replay,"bonjour, je voudrais juste pouvoir (si cela est possible ) revoir le film le ruffian"" diffusssé sur fr3 merci"""
Comment proposer un sujet ?,"Peut on tèmoigner vis â vis d'un m3decin urgentite qui m'a agressé d'entrée,"
S'abonner ou se désabonner à nos newsletters,Je me permets de vous écrire car depuis quelque temps je ne reçois plus les newsletter actu bien qu'après vérifications je sois bien inscrit. Puis plus rien depuis plusieurs semaines : y a t'il eu un problème lors du confinement ?
Replay,"Il semblerait que il y ait eu une erreur aujourd'hui lors de la diffusion de TLMVPSP ! En effet, mercredi, la championne était encore là, jeudi il n'y a pas eu d'emission, et aujourd'hui on a un nouveau champion ! Où est passée l'émission o"
Comment contacter le service client ?,me donner le numéro de telephone ou le mail merci
Replay,"Bonjour, pourquoi le documentaire recettes pour un monde meilleur est-il indisponible ?"
Comment contacter le service client ?,envoyer un mail
Mon compte france.tv,mon mot de passe n est plus bon
Replay,Via the appli puis je voir le Film de Tavernier le juge et assassin ?
S'abonner ou se désabonner à nos newsletters,JE SOUHAITE ME DESABONNER DE FRANCE TV
J'aimerai poser une question autour du coronavirus,il y a quenqu'un de vivant qui réponds ou c'est un rot ?
Les directs,Comment faire là maintenant pour visionner France TV?
Comment contacter un animateur ?,je voudrais passer un message à Nagui?
Comment contacter le service client ?,"Bonjour, à quelle adresse postale puis-je envoyer un courrier à M François Busnel?"
Mon compte france.tv,Cest ecrit error 5000 no rederer
J'aimerai poser une question autour du coronavirus,Bonjour je voudrais savoir quelle case cocher sur mon attestation pour aller manger mon sandwich le midi en dehors de mon lieu de travail
Mon compte france.tv,comment faire pour un compte
Comment contacter le service client ?,le chaines en direct ne fonctionnent plus
Mon compte france.tv,Impossible de modifier mon mot de passe
S'abonner ou se désabonner à nos newsletters,gestion abonnement newsletter
Comment contacter un animateur ?,Je souhaite envoyer un mail à Mme LUcet mais je ne suis pas sur les réseaux sociaux. A-t-elleu ne adresse mail ?
Replay,je veux regarder une video!!!!!
S'abonner ou se désabonner à nos newsletters,je veux me desabonner de tout
Replay,Je n'ai accès à aucune Replay France télévision sur Freebox
Comment proposer un sujet ?,Il serait bien qu´il y ait une chaîne spécifique pour le sport au lieu de perturber les programmes ex ce soir avec rolland garrot sur France 3
Comment proposer un sujet ?,puis je avoir un email pour envoyer une actualité
Replay,Je voudrais regarder la suite de Major Crimes!
Replay,Est possible Bayard Land est disponible ce soir et tout les soirs. J aime ça bien merci appelle bibard Pauline
Comment contacter un animateur ?,J aimerais rencontrer 1 journalistes pour raconter mon problème
Mon compte france.tv,Comment supprimer mon ancien compte ?
Comment activer les sous-titres ?,Pouvez vous mettre les titres sous les titres noms des personnes qui parlent ...  écrits trop fins... illisibles p nous presbytes 😱
Mon compte france.tv,Je n'arrive pas à me connecter pour voir les fourberies de Sczpin
J'aimerai poser une question autour du coronavirus,intubé
Mon compte france.tv,me desobonner de la connexion france tv
S'abonner ou se désabonner à nos newsletters,Je reçois des mails de France TV que je ne souhaite plus recevoir...
Comment contacter le service client ?,bonjour. Le direct ne fonctionne pas il y a des Eurreurs 4200 toutes les 10s
Mon compte france.tv,J’ai mon mot de passe mais un message
Quel est le programme TV ?,quand est diffusé l'été en pente douce ?
J'aimerai poser une question autour du coronavirus,Masques en tissu inutilisables: le varian anglais serait il de plus petit volume que la souche précédente ?
Comment proposer un sujet ?,J'aimerai suggérer un sujet à aborder dans le magazine de la santé sur France 5
Replay,site web france.tv sur le net via safari
Mon compte france.tv,Au est ce que c'est que l identifiant
Mon compte france.tv,JE NE PEUX TOUJOURS PAS ACCEDER A MON COMPTE ( date de naissance NON valide)
Comment contacter un animateur ?,"Bonjour, je voudrais adresser un courriel prive de felicitations a Mr MARIE.. Comment puis-je le contacter ?"
Mon compte france.tv,"malgré plusieurs tentatives etpolusieurs  clics s"" sur ""e déconnecter""je ne aprviens pas à supprimer france tv et vous sans me déconnecter de chrome """
J'habite à l'étranger,depuis la Belgique je ne sais pas
Quel est le programme TV ?,diffusion des programmes à l'étranger ?
Replay,"tous les soirs et ce quelque soit le soir maintenant, j'ai des soucis lors du replay de n'oubliez pas les paroles, à savoir que l'émission s'arrête sans prévenir tout est fixe et il faut que je redémarre à zéro !"
Mon compte france.tv,je n'arrive pas à valider mon inscription
Mon compte france.tv,Bonjour je n'arrive pas à réinitialiser mon mot de passe.
Replay,"Bonsoir, je n'arrive pas à voir les replay"" de ""Recherche Héritiers"". """
Replay,je ne peux plus visionner maman a tort erreur 4103?
Quel est le programme TV ?,cette émission passe quand à la tv
Comment contacter le service client ?,"Bonjour, j'aimerais avoir une copie video d'une émission TV ?"
Mon compte france.tv,jarrive pas a cree un compte
Replay,"A tout France TV toutes mes félicitations. Je viens de voir le dispositif que vous dispositif que vous déployez pour RG, c'est stupéfaint.\nMalgré les mesures anotaires, on s'y croirait.\nMerci pour cette empathie."
S'abonner ou se désabonner à nos newsletters,comment ne plus recevoir d'emails de france TV en 1 clic
J'habite à l'étranger,regardez la tv a en espagne
Mon compte france.tv,changer de nom d'utilisateur
Comment contacter le service client ?,email de la rédaction
Replay,Ma vie de courgette replay
Mon compte france.tv,je ne reçois pas le message permettant de valider le nouveau mot de passe
J'aimerai poser une question autour du coronavirus,Je travaille dans un collège les élèves au réfectoire mangent bien sûr par classe mais ils sont tous en contact à ce moment là sans masque on va environ 150 élèves en même temps et on dit que c'est dans les restaurants et les bars que c'est
S'abonner ou se désabonner à nos newsletters,je ne veux plus du tout recevoir l'actualité de toutes les régions de france métropolitaire et outremer
Comment contacter le service client ?,j'ai envoyé une massage a France Télévision
Comment contacter le service client ?,"Ou trouver la série complète de un village français "" ? """
Replay,"Bonsoir, pouvez vous me dire pourquoi, il n'y a pas la suite des amis prodigieuses ce soir ?"
Replay,pourquoi je ne peu plus voir de replay? avec votre histoire je m'incris!!
Comment proposer un sujet ?,"Bonjour, \n\nJe suis responsable marketing du Limoges CSP.\n\nJe travaille depuis des mois sur un projet sociétal d'envergure pour la défense des Droits de l'Homme.\n\nLe club va thématiser son engagement chaque saison."
Comment proposer un sujet ?,j'ai ecris mon livre et je souhaite le promouvoir a travers l'emission télematin
Replay,Je voudrais installer l'application france tv sur mon ipad
J'aimerai poser une question autour du coronavirus,"Bonjour, j'ai une requête un petit peu spéciale. Pourrais-je avoir un contact de quelqu'un de l'éauipe de l'émission Sur Le Front ? Je sais qu'ils sont actuellement en Bretagne, vers Perros-Guirec et j'aimerais beaucoup leur offrir mon aide"
Comment contacter le service client ?,comment faire une réclamation ?
J'habite à l'étranger,la est pa disponible en espagne
J'aimerai poser une question autour du coronavirus,"Pourriez vous en ce temps de confinement/couvre-feu repasser les pièces de théatre diffusées dans l'émission au théatre ce soir"" ?"""
Mon compte france.tv,"bonsoir, je n'arrive pas à me connecter merci de me répondre et de voir le problème"
Comment contacter le service client ?,Oui bjr je voudrais joindre Laura du web j'ai tricote pour les bébés de la zone sinistré deTendecomment leur faire parvenir merci je suis une mamie qui n'as pas de petits enfants alors je pense aux autres merci de m'aider bisous à tous
Mon compte france.tv,MA VILLE DE VEUX PAS ETRE ENREGISTER POUR MON INSCRIPTION
Replay,bonjour pourquoi n'y a t il pas le replay de bodyguard de lundi 23 novembre?
J'aimerai poser une question autour du coronavirus,"J'habite à cholet à 50 km de Nantes. Je souhaite y aller samedi pour y faire achats de Noël dans des enseignes qui ne sont pas dans ma ville (ikea, fnac, Apple) ai je le droit d'y aller ?"
Thalassa,Merci pour votre soiree en souvenir de Georges Pernoud. Je l ai connu et vu toutes les vendredis soir pendent mes annees en France. Retourne en Italie j ai mis la TNT rien que pour Thalassa. Merci encore pour cette belle retrospective.
Mon compte france.tv,impossible de me connecter
Comment contacter le service client ?,On m'a propose de ecrire mon email adresse et pas de reaction de votre par
Comment contacter le service client ?,"bonjour, je souhaiterais retrouver un documentaire diffusé samedi 26/12 qui concernait big ben et westminster"
Comment activer les sous-titres ?,Pourquoi n'y a-til pas les sous-titres a Slam aujourd'hui ?C''était également sans sous titre pour Des chiffres et des lettres. \u003Cet cela arrive parfois. Pourquoi ?
Replay,"Bonjour, je cherche des videos datant de janvier dernier. comment puis-je me les procurer ?"
Replay,tout les replay que je regarde sont soit interrompus soit saccades .....pourquoi ? c'est super énervant !
Replay,Le replay de france tv sur freebox v5 (chrystal) n'est plus mis à jour depuis mardi
Replay,Il s'agit de l'épisode diffusé vendredi 26 juin
Mon compte france.tv,"J ai reçu votre message je me suis inscrite,je me suis connecté sa marche pas. Pour regarder un si grand sOleil. J attend de l aide de votre part merci beaucoup Hélène Dol."
Comment proposer un sujet ?,Non je ne souhaite pas voter mais donner mon avis sur ce qui est télévisé..
Comment contacter le service client ?,La photo ne prend pas le format
Comment proposer un sujet ?,J'aimerais parler d'un sujet à traiter
S'abonner ou se désabonner à nos newsletters,Je veux me désabonner de vos courriels.
Comment contacter le service client ?,Parler à qqqnn
S'abonner ou se désabonner à nos newsletters,ladresse mails de casch investigation
Comment proposer un sujet ?,"Bonsoir, Je suis en train de regarder votre programme 'Le Cosmos dans tous ses états'. Vous passez régulièrement une publicité pour meccano, le jeu de construction qui montre une relation père-fils.Pourquoi les filles sont-elles exclues?"
